Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	0.8	новый	21*21*17 см		1 год	производителем	100 *С	0.68				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		белый	отсутствует		отсутствует
	1.22	новый	25*21*22.7 см		1 год	производителем	60-100 *С				Да	включения, уровня воды, температуры	5	1	1.7		металл		Да	Да	Да		Да			2200		Да				новый	Да	нажатие		Китай		ТЭН	Да	поддержание температуры	нержавеющая сталь	отсутствует	Да	отсутствует
	0.98	новый	22.9*23.5*16 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1		1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль	Да		белый			
	1.6		24.8*22.6*17.1 см		1 год	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2.4						новый		нажатие		Китай		закрытая спираль			темно-синий		Да	отсутствует
	1.1	новый	24.3*15.3*20.7 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	5	1	1.7		стекло/ металл		Да	Да	Да		Да		Да	2200		Да				новый	Да	нажатие		Китай		ТЭН	Да	поддержание температуры	прозрачный/ серебристый	разноцветный		отсутствует
	1.1		22.7*21.6*15.8 см		1 год	производителем	99-100 *С	0.7		Да		включения, уровня воды	1	1	1.8		пластик/ металл/ стекло		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		диск	Да		черный	синий		отсутствует
	0.89	новый	22*25.5*15.2 см		1 год	производителем	100-100 *С	0.75				включения, температуры	1	1	1.7		пластик/ нержавеющая сталь		Да				Да			2150		Да				новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		черный	отсутствует		отсутствует
	0.9	новый	15.6*21.6*21.5 см		1 год	производителем	100 *С	0.6				включения, уровня воды	1	1	1.8		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН			белый/ фиолетовый	синий		отсутствует
	1.2	новый	23.5*21.8*16.6 см		1 год	производителем	40-100 *С	0.7	Да		Да	включения, уровня воды, температуры	5	1	1.5		стекло/ металл/ пластик		Да	Да	Да		Да		Да	2200		Да				новый	Да	полностью съемная		Китай		ТЭН	Да	заваривание чая, поддержание температуры	прозрачный/ черный	разноцветный		отсутствует
	1.6	новый	26.5*21.3*24.5 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды		2	1.5		пластик		Да	Да	Да		Да			2400						новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	черный	отсутствует		
	0.913	новый	22.9*15.1*21.2 см		3 года	производителем	100-100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		нажатие		Китай		закрытая спираль	Да		серебристый/ черный	отсутствует		отсутствует
	1.75	новый	26.5*23*22 см		1 год	производителем	40-100 *С	0.6	Да		Да	включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да	Да	Да		Да	2200		Да				новый		полностью съемная		Китай		диск	Да	заваривание чая, поддержание температуры	серебристый/ прозрачный	голубой	Да	отсутствует
	1.12	новый	23.8*22*15 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды	1	1	1.7		нержавеющая сталь/ стекло/ пластик		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный	голубой		отсутствует
	1	новый	24*17*17 см		2 года	производителем	40-100 *С	0.9				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай	Да	диск	Да	снижения уровня шума	нержавеющая сталь/ прозрачный	белый		
	0.98	новый	22.7*16.6*22 см		1 год	производителем	100 *С	0.74				включения, уровня воды, температуры	1	1	1.7		металл		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		графитовый	отсутствует		отсутствует
	0.95	новый	23.6*21*15 см		1 год	производителем	100 *С	0.63				включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		черный/ голубой	голубой		отсутствует
	3.03	новый	38.5*26.5*22 см		1 год	производителем	70-100 *С	0.75	Да		Да	включения, уровня воды, температуры	30	1	1.7		стекло/ пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	нажатие		Китай		ТЭН		заваривание чая, поддержание температуры	нержавеющая сталь/ черный	отсутствует	Да	отсутствует
